g_ht,hrb_ht,nonnativ,plant,wt_g
13.4,12.75,89,111,31
0,12.25,111,117,28
7,6.5,96,98,12.5
10,4.75,86,89,21.5
10.6,11.5,93,96,26.5
16.25,14,94,96,21
10.9,22,56,81,24.5
15.75,12.75,81,81,26.5
19.4,12,70,92,35.5
0,21.25,91,97,25.5
16.6,8,89,90,13
25.1,19.75,52,73,15.5
5.923076923076923,7.5,64,66,13
6.25,7,91,91,11.5
12.41666666666667,11.25,125,126,15
0,19.25,123,128,28.5
0,11,108,108,33.5
0,5.5,146,152,23
0,12,85,88,34
0,26.5,52,106,39
15.3,10.5,97,97,39.5
22,12.25,89,95,17.5
0,20,101,103,35.5
12,16.75,38,103,6.5
0,29.75,76,100,55.5
0,17.75,74,90,39
0,63.75,101,102,66
0,36.25,62,66,37
0,11.5,95,97,10
0,34.5,104,104,60.5
0,30,95,103,27
0,56.75,106,106,70.5
