g_pres,hrb_ht,nonnativ,plant,wt_g
1,17,61,74,12
1,12.75,89,111,31
0,12.25,111,117,28
1,6.5,96,98,12.5
1,7,97,99,13.5
1,11.5,93,96,26.5
1,14,94,96,21
1,22,56,81,24.5
1,12.75,81,81,26.5
1,12,70,92,35.5
0,21.25,91,97,25.5
1,10.5,74,79,16
1,7.5,64,66,13
1,7,91,91,11.5
1,9.5,59,60,17.5
1,11.25,125,126,15
0,11,108,108,33.5
0,5.5,146,152,23
0,12,85,88,34
0,26.5,52,106,39
1,10.5,97,97,39.5
1,12.25,89,95,17.5
0,20,101,103,35.5
1,16.75,38,103,6.5
1,7,59,121,17.5
0,29.75,76,100,55.5
0,36.25,62,66,37
0,11.5,95,97,10
0,17,86,107,31
0,34.5,104,104,60.5
0,30,95,103,27
0,56.75,106,106,70.5
