Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.8612E-6,0.00078612,0.000205113,1,0,0
1.27972E-3,0.128758197,0.032842265,0.96875,0,0
2.69449E-3,0.398206883,0.067896387,0.9375,0,0
4.11479E-3,0.809686024,0.101809811,0.90625,0,0
5.70158E-3,1.37984408,0.138241247,0.875,0,0
1.09459E-2,2.47442983,0.248456902,0.84375,0,0
1.50404E-2,3.978472824,0.324615121,0.8125,0,0
1.75432E-2,5.732793754,0.367314199,0.78125,0,0
1.93006E-2,7.66285258,0.395672662,0.75,0,0
2.31142E-2,9.974268378,0.452915762,0.71875,0,0
2.46746E-2,12.441730131,0.474745255,0.6875,0.055555556,0
2.50387E-2,14.945598241,0.479711578,0.65625,0.055555556,0
2.58553E-2,17.531129273,0.490681386,0.625,0.111111111,0
2.70479E-2,20.235915452,0.50628682,0.59375,0.111111111,0
2.92384E-2,23.159757572,0.533716798,0.5625,0.111111111,0
3.1867E-2,26.34645477,0.564627298,0.53125,0.166666667,0
3.24762E-2,29.594071708,0.571493568,0.5,0.222222222,0
3.45342E-2,33.047489667,0.593898555,0.46875,0.277777778,0
3.58109E-2,36.628579287,0.607205056,0.4375,0.277777778,0
3.85615E-2,40.484726774,0.634409915,0.40625,0.333333333,0
3.88122E-2,44.365946676,0.636793989,0.375,0.388888889,0
3.95617E-2,48.322119597,0.643828777,0.34375,0.444444444,0
3.96546E-2,52.287581487,0.644691059,0.3125,0.5,0
4.03762E-2,56.32520325,0.651318846,0.28125,0.555555556,0
4.54647E-2,60.871677018,0.694675392,0.25,0.555555556,0
4.68154E-2,65.553219035,0.705249242,0.21875,0.611111111,0
4.85114E-2,70.404362434,0.718009475,0.1875,0.666666667,0
5.14585E-2,75.550209365,0.738882096,0.15625,0.722222222,0
5.23193E-2,80.782139462,0.744682193,0.125,0.777777778,0
6.24508E-2,87.027215406,0.803996271,0.09375,0.833333333,0
6.2655E-2,93.292715379,0.805038103,0.0625,0.888888889,0
6.70728E-2,100,0.826266481,0.03125,0.944444444,0
