g_fruit,asp_cir,bare,dstrb_cir,slp_pos,slp_deg_cir
15,SW,30,15,1,16
26,NE,5,12,1,12
0,S,0,1,-1,5
84,SW,7,1,0,8
65,S,4,30,0,13
20,NW,2,5,0,10
50,SW,20,20,0,7
0,NW,20,22,1,5
10,NW,8,10,1,25
3,NE,21,30,0,10
8,NE,10,10,1,10
10,NE,12,5,0,10
50,SW,10,25,0,16
10,SW,40,35,0,15
16,S,6,3,0,10
0,S,0,0,0,16
0,E,1,1,0,10
0,W,15,3,1,10
5,E,7,7,1,10
100,N,5,2,1,7
0,SE,2,5,0,7
50,E,4,4,1,16
33,NW,1,25,0,14
0,N,6,8,1,25
0,N,15,15,0,20
0,SE,2,1,-1,25
0,SW,40,2,0,25
0,SW,5,1,0,15
0,SW,1,5,0,25
0,SE,3,2,-1,9
0,N,2,2,0,35
0,E,1,3,-1,22
