g_ht,asp,asp_cir,dstrb_cir,slp_deg_cir,slp_pos
14.2,SW,SW,15,16,1
13.4,NE,NE,12,12,1
0,S,S,1,5,-1
7,SW,SW,1,8,0
5.25,S,S,30,13,0
10,W,W,1,13,0
10.6,NW,NW,5,10,0
16.25,NW,NW,20,5,0
0,SE,SE,2,12,1
15.75,NW,NW,22,5,1
19.4,NW,NW,10,25,1
0,SE,SE,7,15,0
16.2,NE,NE,30,10,0
16.6,N,NE,10,10,1
5.923076923076923,W,W,2,15,0
6.25,SW,SW,25,16,0
12.9,SW,SW,35,15,0
12.41666666666667,S,S,3,10,0
0,W,W,2,10,0
0,E,E,1,10,0
0,W,W,3,10,1
0,NW,NW,5,15,0
15.3,E,E,7,10,1
22,N,N,2,7,1
0,SE,SE,5,7,0
12,E,E,4,16,1
0,N,N,15,20,0
0,SE,SE,1,25,-1
0,SW,SW,1,15,0
0,SW,SW,5,25,0
0,SE,SE,2,9,-1
0,N,N,2,35,0
