Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.35207E-3,0.435207208,0.113926,1,0,0
5.07691E-3,0.942898195,0.131597393,0.96875,0,0
8.69909E-3,1.812806945,0.214762519,0.9375,0,0
9.30493E-3,2.743299796,0.227873513,0.90625,0,0
1.25242E-2,3.995719216,0.293956358,0.875,0,0
1.46295E-2,5.458673286,0.334083503,0.84375,0,0
1.57889E-2,7.037559332,0.35519759,0.8125,0,0
2.02266E-2,9.060215982,0.430015516,0.78125,0,0
2.203E-2,11.263211286,0.457879347,0.75,0,0
2.21371E-2,13.476920428,0.459491186,0.71875,0.0625,0
2.45356E-2,15.930476265,0.494346509,0.6875,0.0625,0
2.48904E-2,18.419521032,0.499309379,0.65625,0.0625,0
2.54075E-2,20.960274458,0.506453403,0.625,0.125,0
2.79542E-2,23.755694791,0.540178181,0.59375,0.125,0
2.83827E-2,26.593963078,0.545621495,0.5625,0.125,0
2.85219E-2,29.446153954,0.547376284,0.53125,0.125,0
3.25247E-2,35.550811453,0.595029334,0.46875,0.125,0
3.35244E-2,38.903250635,0.606126498,0.4375,0.1875,0
3.37751E-2,42.280764377,0.608861797,0.40625,0.25,0
3.63926E-2,45.920026865,0.636305391,0.375,0.3125,0
3.71056E-2,49.630590551,0.643441554,0.34375,0.375,0
3.77672E-2,53.407306418,0.649937101,0.3125,0.4375,0
3.85341E-2,57.26072138,0.65732027,0.28125,0.5,0
4.6546E-2,61.915325854,0.72572645,0.25,0.5625,0
4.85124E-2,66.76656212,0.740312978,0.21875,0.625,0
4.87482E-2,71.641378152,0.742009246,0.1875,0.6875,0
4.95793E-2,76.599305649,0.747900205,0.15625,0.75,0
5.13005E-2,81.729359658,0.759676286,0.125,0.8125,0
5.41562E-2,87.144983745,0.77801277,0.09375,0.875,0
5.71995E-2,92.864929335,0.79601603,0.0625,0.875,0
7.13507E-2,100,0.862346003,0.03125,0.9375,0
7.13507E-2,100,0.862346003,0.03125,1,0
