g_repro,asp_cir,bare,dstrb_cir,slp_pos,slp_deg_cir
4485,SW,30,15,1,16
0,S,0,1,-1,5
1839.9999999999998,S,4,30,0,13
2847.4285714285725,W,15,1,0,13
4364.8,NW,2,5,0,10
123,NW,8,20,0,5
0,SE,5,2,1,12
31.5,NW,20,22,1,5
1257.6,NW,8,10,1,25
1076.7,NE,21,30,0,10
1079.5,NE,10,10,1,10
24650,NE,12,5,0,10
374.15384615384625,W,35,2,0,15
24.999999999999996,SW,10,25,0,16
1917.5000000000002,SW,40,35,0,15
0,W,2,2,0,10
0,S,0,0,0,16
0,E,1,1,0,10
0,W,15,3,1,10
0,NW,5,5,0,15
6,E,4,4,1,16
18,NW,1,25,0,14
0,N,10,8,0,17
0,N,6,8,1,25
0,N,15,15,0,20
0,SE,2,1,-1,25
0,SW,40,2,0,25
0,SW,5,1,0,15
0,SW,1,5,0,25
0,SE,3,2,-1,9
0,N,2,2,0,35
0,E,1,3,-1,22
